Top pages,Clicks,Impressions,CTR,Position
https://happyendpoint.com/apis/tesco,0,270,0%,9.61
https://happyendpoint.com/apis,0,93,0%,5.95
https://happyendpoint.com/llms.txt,0,37,0%,6.51
https://happyendpoint.com/,0,36,0%,2.86
https://happyendpoint.com/platforms,0,26,0%,7.04
https://happyendpoint.com/categories,0,11,0%,5.82
https://happyendpoint.com/platforms/fotocasa/apis,0,11,0%,10.36
https://happyendpoint.com/platforms/hm/apis,0,9,0%,9
https://happyendpoint.com/datasets,0,5,0%,5
https://happyendpoint.com/platforms/propertyfinder/datasets,0,5,0%,5.8
https://happyendpoint.com/platforms/sephora/free-datasets,0,3,0%,8
https://happyendpoint.com/categories/beauty,0,2,0%,1
https://happyendpoint.com/categories/real-estate,0,2,0%,1
https://happyendpoint.com/categories/retail,0,2,0%,1
